arrived,density,departed,entered,id,laneChangedFrom,laneChangedTo,laneDensity,left,occupancy,overlapTraveltime,sampledSeconds,speed,speedRelative,timeLoss,traveltime,waitingTime,vclass,preloading,begin,end
0.0,0.73,0.0,1.0,:1942944427_0,0.0,0.0,0.73,1.0,0.34,3.14,3.14,6.84,0.82,0.22,2.13,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.37,0.0,1.0,:1942989937_1,0.0,0.0,0.37,1.0,0.16,1.11,1.11,15.3,0.79,0.06,0.64,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.92,0.0,1.0,:1942989938_0,0.0,0.0,0.92,1.0,0.32,1.9,1.9,7.37,0.66,0.18,0.87,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.58,0.0,1.0,:1942989947_4,0.0,0.0,0.58,1.0,0.28,2.52,2.52,8.56,0.47,0.26,1.53,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,9.43,0.0,1.0,:1942989966_0,0.0,0.0,9.43,1.0,0.29,0.91,0.91,8.2,0.59,0.1,0.04,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,12.93,0.0,1.0,:1942989966_1,0.0,0.0,12.93,1.0,0.14,0.43,0.43,16.89,0.87,0.01,0.01,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.37,0.0,1.0,:1942990022_1,0.0,0.0,0.37,1.0,0.15,1.04,1.04,15.81,0.81,0.02,0.6,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.38,0.0,1.0,:1942990082_1,0.0,0.0,0.38,1.0,0.15,1.08,1.08,15.32,0.79,0.05,0.61,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.31,0.0,1.0,:1942990121_1,0.0,0.0,0.31,1.0,0.15,1.39,1.39,15.75,0.81,0.03,0.94,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.39,0.0,1.0,:1942990135_1,0.0,0.0,0.39,1.0,0.16,1.09,1.09,15.16,0.78,0.07,0.62,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,5.75,0.0,1.0,:1942990142_0,0.0,0.0,5.75,1.0,0.27,0.88,0.88,8.66,0.78,0.05,0.06,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,9.61,0.0,1.0,:1942990142_1,0.0,0.0,9.61,1.0,0.16,0.49,0.49,14.83,0.76,0.07,0.01,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,11.34,0.0,1.0,:251343878_0,0.0,0.0,11.34,1.0,0.34,1.05,1.05,7.03,0.63,0.05,0.04,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.46,0.0,1.0,:251343879_3,0.0,0.0,0.46,1.0,0.21,1.88,1.88,11.0,0.79,0.19,1.28,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,1.03,0.0,1.0,:251344803_2,0.0,0.0,1.03,1.0,0.42,2.78,2.78,5.8,0.91,1.03,1.64,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
0.0,0.21,0.0,1.0,:251344806_3,0.0,0.0,0.21,1.0,0.1,0.91,0.91,24.05,0.87,0.02,0.61,0.0,HV_truck,False,2025-03-24 06:00:00,2025-03-24 06:05:00
